,Header,Description,Time,Label
0,Most U.S. voters say immigrants – no matter their legal status – mostly take jobs citizens don’t want,"Three-quarters of voters say undocumented immigrants fill jobs citizens don’t want, while 61% say the same of legal immigrants.",2024-10-21T00:00:00+00:00,short reads
1,What the data says about immigrants in the U.S.,"In 2022, roughly 10.6 million immigrants living in the U.S. were born in Mexico, making up 23% of all U.S. immigrants.",2024-09-27T00:00:00+00:00,short reads
2,"Trump and Harris Supporters Differ on Mass Deportations but Favor Border Security, High-Skilled Immigration","A majority of Trump backers say more immigrants would make life worse for people like them, while most Harris backers say life wouldn’t change.",2024-09-27T00:00:00+00:00,report
3,Why Asian Immigrants Come to the U.S. and How They View Life Here,Most say they’d move to the U.S. again if they could and cite a good comparative standard of living. But 59% also see major issues with the immigration system.,2024-10-09T00:00:00+00:00,report
4,What we know about unauthorized immigrants living in the U.S.,"The unauthorized immigrant population in the U.S. grew to 11 million in 2022, but remained below the peak of 12.2 million in 2007.",2024-07-22T00:00:00+00:00,short reads
5,U.S. immigrant population in 2023 saw largest increase in more than 20 years,"The number of immigrants living in the U.S. grew by about 1.6 million people in 2023, the largest annual increase by number since 2000.",2024-09-27T00:00:00+00:00,short reads
6,"In some countries, immigration accounted for all population growth between 2000 and 2020","In 14 countries and territories, immigration accounted for more than 100% of population growth during this period.",2024-07-08T00:00:00+00:00,short reads
7,1 in 10 eligible voters in the U.S. are naturalized citizens,"Naturalized citizens make up a record number of eligible voters in 2022, most of whom have lived here more than 20 years.",2024-09-19T00:00:00+00:00,short reads
8,How Temporary Protected Status has expanded under the Biden administration,"Since January 2021, the Biden administration has greatly expanded the number of immigrants who are eligible for Temporary Protected Status.",2024-03-29T00:00:00+00:00,short reads
9,How the origins of America’s immigrants have changed since 1850,"In 2022, the number of immigrants living in the U.S. reached a high of 46.1 million, accounting for 13.8% of the population.",2024-07-22T00:00:00+00:00,short reads
10,Americans’ Top Policy Priority for 2024: Strengthening the Economy,Growing shares of Republicans rate immigration and terrorism as top priorities for the president and Congress this year.,2024-02-29T00:00:00+00:00,report
11,Key facts about the wealth of immigrant households during the COVID-19 pandemic,The median wealth of immigrant households increased by 42% from December 2019 to December 2021.,2023-12-04T00:00:00+00:00,short reads
12,"Religious composition of the world’s migrants, 1990-2020",Explore our interactive table showing the religious composition of immigrants around the globe and how it’s changed from 1990 to 2020.,2024-08-19T00:00:00+00:00,feature
13,Latinos’ Views on the Migrant Situation at the U.S.-Mexico Border,U.S. Hispanics are less likely than other Americans to say increasing deportations or a larger wall along the border will help the situation.,2024-03-04T00:00:00+00:00,report
14,8 facts about recent Latino immigrants to the U.S.,"In 2021, there were 2.6 million foreign-born Hispanics who had been in the U.S. for five years or less. This is down from 3.8 million in 2000.",2023-09-28T00:00:00+00:00,short reads
15,The Hardships and Dreams of Asian Americans Living in Poverty,About one-in-ten Asian Americans live in poverty. Pew Research Center conducted 18 focus groups in 12 languages to explore their stories and experiences.,2024-03-27T00:00:00+00:00,data essay
16,A Majority of Latinas Feel Pressure To Support Their Families or To Succeed at Work,"Many juggle cultural expectations and gender roles from both Latin America and the U.S., like doing housework and succeeding at work.",2024-05-14T00:00:00+00:00,report
17,"State of the Union 2024: Where Americans stand on the economy, immigration and other key issues",Ahead of President Joe Biden’s third State of the Union address Americans are focused on the health of the economy and immigration.,2024-03-07T00:00:00+00:00,short reads
18,"Asian Americans, Charitable Giving and Remittances","Overall, 64% of Asian American adults say they gave to a U.S. charitable organization in the 12 months before the survey. One-in-five say they gave to a charity in their Asian ancestral homeland during that time. And 27% say they sent money to someone living there.",2024-05-02T00:00:00+00:00,report
19,Discrimination Experiences Shape Most Asian Americans’ Lives,Most Asian adults in the U.S. have been treated as a foreigner or experienced incidents where people assume they are a “model minority.”,2023-11-30T00:00:00+00:00,report
20,How Hispanic Americans Get Their News,"U.S.-born Latinos mostly get their news in English and prefer it in English, while immigrant Latinos have much more varied habits.",2024-03-19T00:00:00+00:00,report
21,Income inequality is greater among Chinese Americans than any other Asian origin group in the U.S.,"Among all Asian origin groups in the U.S., Chinese American households had the highest income inequality in 2022.",2024-05-31T00:00:00+00:00,short reads
22,Key facts about Asian Americans living in poverty,Burmese (19%) and Hmong Americans (17%) were among the Asian origin groups with the highest poverty rates in 2022.,2024-03-27T00:00:00+00:00,short reads
23,"White Protestants and Catholics support Trump, but voters in other U.S. religious groups prefer Harris","Among White evangelicals, support for Trump is higher among those who attend church regularly than among those who don’t.",2024-09-09T00:00:00+00:00,short reads
24,"In Tight U.S. Presidential Race, Latino Voters’ Preferences Mirror 2020","More Latino registered voters back Kamala Harris (57%) than Donald Trump (39%), and supporters of each candidate prioritize different issues.",2024-09-24T00:00:00+00:00,report
25,What Trump supporters believe and expect,The economy was the most important issue for Trump voters this year; 93% of his supporters said it was very important to their vote.,2024-11-13T00:00:00+00:00,short reads
26,Key facts about U.S. Latinos with graduate degrees,"In 2021, nearly 2.5 million Latinos in the United States held advanced degrees such as master’s degrees or doctorates.",2023-10-03T00:00:00+00:00,short reads
27,10 facts about Republicans in the U.S.,"About eight-in-ten Republican voters (79%) are non-Hispanic White, down from 93% nearly two decades ago.",2024-07-12T00:00:00+00:00,short reads
28,The Religious Composition of the World’s Migrants,"The globe’s 280 million immigrants shape countries’ religious composition. Christians make up the largest share, but Jews are most likely to have migrated.",2024-08-19T00:00:00+00:00,report
29,11 facts about Hispanic origin groups in the U.S.,"In 2022, there were 63.7 million Hispanics living in the United States. The U.S. Hispanic population has diverse origins in Latin America and Spain.",2023-08-16T00:00:00+00:00,short reads
30,"Among Asian Americans, U.S.-born children of immigrants are most likely to have hidden part of their heritage","32% of U.S.-born Asian adults have hidden a part of their heritage, compared with 15% of immigrants.",2023-09-11T00:00:00+00:00,short reads
31,"In Their Own Words: Cultural Connections to Religion Among 
Asian Americans",Read about some of the ways focus group participants with ties to different faith traditions explain the complex relationship of religion and culture in their lives.,2023-10-11T00:00:00+00:00,report
32,The Political Values of Harris and Trump Supporters,"Among supporters of Kamala Harris and Donald Trump, there continue to be wide gaps on cultural issues, the role of government and America’s place in the world.",2024-08-26T00:00:00+00:00,report
33,U.S. Christians more likely than ‘nones’ to say situation at the border is a crisis,Majorities of White Christian groups say the large number of migrants seeking to enter at the border with Mexico is a “crisis” for the United States.,2024-03-04T00:00:00+00:00,short reads
34,"How Americans View the Situation at the U.S.-Mexico Border, Its Causes and Consequences","Just 18% of U.S. adults say the government is doing a good job dealing with the large number of migrants at the border. Eight-in-ten say it is doing a bad job, including 45% who say it’s doing a very bad job.",2024-02-15T00:00:00+00:00,report
35,5 facts about Hispanic Americans and health care,"Seven-in-ten Hispanic Americans say they’ve seen a doctor or other health care provider in the past year, compared with 82% among Americans overall.",2023-10-30T00:00:00+00:00,short reads
36,Key facts about U.S. Latinos for National Hispanic Heritage Month,"The U.S. population grew by 24.5 million from 2010 to 2022, and Hispanics accounted for 53% of this increase.",2023-09-22T00:00:00+00:00,short reads
37,Immigrants and children of immigrants make up at least 15% of the 118th Congress,At least 81 voting members of Congress (15%) are foreign born or have at least one parent who was born in another country.,2023-02-28T00:00:00+00:00,short reads
38,"Americans see little bipartisan common ground, but more on foreign policy than on abortion, guns","Across six issue areas, the share of adults who say there is at least some common ground between the parties has declined by an average of 12 points since 2023.",2024-06-25T00:00:00+00:00,short reads
39,Latinos’ Views of and Experiences With the Spanish Language,"Most U.S. Latinos speak Spanish: 75% say they are able to carry on a conversation in Spanish pretty well or very well. But not all Latinos are Spanish speakers, and about half (54%) of non-Spanish-speaking Latinos have been shamed by other Latinos for not speaking Spanish.",2023-09-20T00:00:00+00:00,report
40,Americans remain critical of government’s handling of situation at U.S.-Mexico border,"Just 23% of Americans say the government is doing a good job dealing with the large number of people seeking asylum at the border, while 73% say it’s doing a bad job.",2023-06-21T00:00:00+00:00,short reads
41,Diverse Cultures and Shared Experiences Shape Asian American Identities,"Among Asian Adults living in the U.S., 52% say they most often describe themselves using ethnic labels that reflect their heritage and family roots, either alone or together with “American.” About six-in-ten (59%) say that what happens to Asians in the U.S. affects their own lives.",2023-05-08T00:00:00+00:00,report
42,"Inflation, Health Costs, Partisan Cooperation Among the Nation’s Top Problems","Democrats hold the edge on many issues, but more Americans agree with Republicans on the economy, crime and immigration. Inflation remains the top concern for Republicans and Republican-leaning independents, with 77% saying it is a very big problem. For Democrats and Democratic leaners, gun violence is the top concern, with about 81% saying it is a very big problem.",2023-06-21T00:00:00+00:00,report
43,"Latinx Awareness Has Doubled Among U.S. Hispanics Since 2019, but Only 4% Use It",Three-quarters of Hispanics who have heard of the term Latinx say it should not be used to describe the Hispanic or Latino population.,2024-09-12T00:00:00+00:00,report
